Time,price,volume
2015-04-13 00:00:00 UTC,234.752800373408,27413448.4773968
2015-04-14 00:00:00 UTC,223.584994971508,26940022.3784505
2015-04-15 00:00:00 UTC,223.51011665512,17779552.7421138
2015-04-16 00:00:00 UTC,228.691678576023,20258194.4440504
2015-04-17 00:00:00 UTC,226.605488361266,16645731.9225364
2015-04-18 00:00:00 UTC,225.166180378673,10050335.7265199
2015-04-19 00:00:00 UTC,226.139139100331,12346470.1204575
2015-04-20 00:00:00 UTC,226.367450755654,14307683.9112114
2015-04-21 00:00:00 UTC,227.846903950041,20481507.5068761
2015-04-22 00:00:00 UTC,236.58710533329,18263464.9008067
2015-04-23 00:00:00 UTC,236.177905448334,11076637.5275746
2015-04-24 00:00:00 UTC,233.945082206785,16683377.023813
2015-04-25 00:00:00 UTC,231.133505773125,11270025.8761669
2015-04-26 00:00:00 UTC,222.242864711484,23581951.3789858
2015-04-27 00:00:00 UTC,224.170071314233,29692539.9806821
2015-04-28 00:00:00 UTC,227.532460031759,15390440.7679551
2015-04-29 00:00:00 UTC,227.446293412636,14331934.8162429
2015-04-30 00:00:00 UTC,234.377166754938,27803858.4990772
2015-05-01 00:00:00 UTC,237.83406817351,15197659.9055103
2015-05-02 00:00:00 UTC,237.141823730646,8111387.48116551
2015-05-03 00:00:00 UTC,241.535331376767,13305594.9314761
2015-05-04 00:00:00 UTC,242.126571679947,15370063.0220566
2015-05-05 00:00:00 UTC,237.756199528499,17894841.9351706
2015-05-06 00:00:00 UTC,237.066334115163,23148774.8972938
2015-05-07 00:00:00 UTC,235.227882347842,20579283.5126172
2015-05-08 00:00:00 UTC,241.658370359549,20227493.684584
2015-05-09 00:00:00 UTC,244.604082565454,14794609.5597193
2015-05-10 00:00:00 UTC,243.274166665954,10476206.6801846
2015-05-11 00:00:00 UTC,243.567931045782,14644140.9874921
2015-05-12 00:00:00 UTC,244.099553608396,12883387.6291579
2015-05-13 00:00:00 UTC,244.199131826166,20103443.4773305
2015-05-14 00:00:00 UTC,239.044739412759,18197685.4304872
2015-05-15 00:00:00 UTC,239.626617314874,10693805.9665039
2015-05-16 00:00:00 UTC,239.425290655661,6224095.1316854
2015-05-17 00:00:00 UTC,239.094602722745,6745006.43023422
2015-05-18 00:00:00 UTC,238.602769833189,11640548.9838112
2015-05-19 00:00:00 UTC,234.780396708234,9198813.31843391
2015-05-20 00:00:00 UTC,236.171494146607,10775467.6299527
2015-05-21 00:00:00 UTC,237.747091371452,10085052.1536416
2015-05-22 00:00:00 UTC,239.326913993089,17957378.2325913
2015-05-23 00:00:00 UTC,241.686585643058,8276551.86374496
2015-05-24 00:00:00 UTC,241.756339276691,7347192.36261408
2015-05-25 00:00:00 UTC,240.608956127893,8277639.24650118
2015-05-26 00:00:00 UTC,239.379654490903,10126917.4487601
2015-05-27 00:00:00 UTC,238.958795401236,11499762.8060847
2015-05-28 00:00:00 UTC,238.955364514712,8099393.72308454
2015-05-29 00:00:00 UTC,238.995921244598,8651193.04684069
2015-05-30 00:00:00 UTC,236.632808344198,9779844.53988599
2015-05-31 00:00:00 UTC,234.911803598022,9193365.67165304
2015-06-01 00:00:00 UTC,230.167269194897,19187324.9779305
2015-06-02 00:00:00 UTC,227.732528275969,15033353.8429948
2015-06-03 00:00:00 UTC,229.321762159096,12745615.6578011
2015-06-04 00:00:00 UTC,228.581124133129,10283613.7095377
2015-06-05 00:00:00 UTC,227.59444708722,13394173.4395353
2015-06-06 00:00:00 UTC,228.089481137734,8413390.30004821
2015-06-07 00:00:00 UTC,227.716759347839,10184200.6203154
2015-06-08 00:00:00 UTC,229.025327570471,18598382.355217
2015-06-09 00:00:00 UTC,232.040781065363,14595829.7928686
2015-06-10 00:00:00 UTC,231.965220977956,10413802.6035486
2015-06-11 00:00:00 UTC,232.543707661216,9957884.78049949
2015-06-12 00:00:00 UTC,232.6523777513,10397204.4435435
2015-06-13 00:00:00 UTC,232.886847185721,9568645.25743009
2015-06-14 00:00:00 UTC,235.152055451509,8639127.68224528
2015-06-15 00:00:00 UTC,237.148762718829,15508326.2015806
2015-06-16 00:00:00 UTC,243.394455938269,31508473.3977194
2015-06-17 00:00:00 UTC,251.681177451707,31832189.3126299
2015-06-18 00:00:00 UTC,250.510503999216,20603581.6802102
2015-06-19 00:00:00 UTC,249.264774880028,16385919.2309746
2015-06-20 00:00:00 UTC,245.585004537186,14676132.943447
2015-06-21 00:00:00 UTC,245.317015169077,6762985.98931286
2015-06-22 00:00:00 UTC,246.86131148422,12659166.799496
2015-06-23 00:00:00 UTC,246.382045555746,10221338.5322582
2015-06-24 00:00:00 UTC,243.903731992899,12901830.4790838
2015-06-25 00:00:00 UTC,243.777456814569,10735789.2823509
2015-06-26 00:00:00 UTC,243.913833252205,10181298.745183
2015-06-27 00:00:00 UTC,247.102958290439,14927461.7459766
2015-06-28 00:00:00 UTC,250.309254054821,10653013.0986997
2015-06-29 00:00:00 UTC,253.939747927554,25583643.3144837
2015-06-30 00:00:00 UTC,264.164505028255,33527138.8633316
2015-07-01 00:00:00 UTC,261.338014339231,20068031.6282531
2015-07-02 00:00:00 UTC,259.026829538145,16412250.9340381
2015-07-03 00:00:00 UTC,257.270971047837,12871308.4740794
2015-07-04 00:00:00 UTC,258.648986351308,12009531.0463174
2015-07-05 00:00:00 UTC,264.667426646445,34726752.6527349
2015-07-06 00:00:00 UTC,272.021610951245,36076824.876844
2015-07-07 00:00:00 UTC,269.235359655174,19593596.0860238
2015-07-08 00:00:00 UTC,269.84369449491,24426953.4505005
